Item Category,Brand Name,SKU,Product Description,Size,Colour
Ladies Pants,NNT Uniforms,CAT3XJ,Chino Pants,6,8,10,12,14,16,18,20,22,24,26,Navy, Desert
Ladies Pants,NNT Uniforms,CAT3KM,Slimline Pants,6,8,10,12,14,16,18,20,Navy
Ladies Pants,NNT Uniforms,CAT3RS,Wide Leg Pants,6,8,10,12,14,16,18,20,22,24,Navy
Shorts,Biz Collection,BS021L,Knee Length Shorts,6,8,10,12,14,16,18,20,22,24,26,Navy, Dark Stone
Dresses,NNT Uniforms,CATUKY,Shirt Dress,6,8,10,12,14,16,18,20,22,24,Navy
Dresses,NNT Uniforms,CAT66L,Shirt Dress,6,8,10,12,14,16,18,Navy
Dresses,NNT Uniforms,CAT69K,Shirt Dress,6,8,10,12,14,16,18,20,22,24,Navy
Dresses,NNT Uniforms,CAT69T,Crepe Stretch Dress,4,6,8,10,12,14,16,18,20,22,24,26,Navy
